,,price,area,Price_sqft,price^2,x.y,x2.y,
0,,5600000,1350,4148.148148,3.136E+13,7560000000,23229629630,
1,,8800000,1490,5906.040268,7.744E+13,13112000000,51973154362,
2,,16500000,2385,6918.238994,2.7225E+14,39352500000,1.14151E+11,
3,,3810000,1050,3628.571429,1.45161E+13,4000500000,13824857143,
4,,6200000,1350,4592.592593,3.844E+13,8370000000,28474074074,
5,,3700000,1150,3217.391304,1.369E+13,4255000000,11904347826,
6,,3270000,890,3674.157303,1.06929E+13,2910300000,12014494382,
7,,3990000,850,4694.117647,1.59201E+13,3391500000,18729529412,
8,,3500000,960,3645.833333,1.225E+13,3360000000,12760416667,
9,,5500000,1400,3928.571429,3.025E+13,7700000000,21607142857,
10,,7300000,850,8588.235294,5.329E+13,6205000000,62694117647,
11,,7700000,1250,6160,5.929E+13,9625000000,47432000000,
12,,10500000,1615,6501.547988,1.1025E+14,16957500000,68266253870,
13,,7200000,1200,6000,5.184E+13,8640000000,43200000000,
14,,7000000,1690,4142.011834,4.9E+13,11830000000,28994082840,
15,,9500000,1000,9500,9.025E+13,9500000000,90250000000,
16,,15000000,1450,10344.82759,2.25E+14,21750000000,1.55172E+11,
17,,4800000,1175,4085.106383,2.304E+13,5640000000,19608510638,
18,,5100000,1087,4691.812328,2.601E+13,5543700000,23928242870,
19,,14000000,1845,7588.075881,1.96E+14,25830000000,1.06233E+11,
20,,6250000,1400,4464.285714,3.90625E+13,8750000000,27901785714,
21,,8700000,1600,5437.5,7.569E+13,13920000000,47306250000,
22,,13000000,1950,6666.666667,1.69E+14,25350000000,86666666667,
23,,15000000,1800,8333.333333,2.25E+14,27000000000,1.25E+11,
24,,5500000,1440,3819.444444,3.025E+13,7920000000,21006944444,
25,,4200000,1040,4038.461538,1.764E+13,4368000000,16961538462,
26,,3900000,1025,3804.878049,1.521E+13,3997500000,14839024390,
27,,10000000,1836,5446.623094,1E+14,18360000000,54466230937,
28,,7600000,1350,5629.62963,5.776E+13,10260000000,42785185185,
29,,3900000,800,4875,1.521E+13,3120000000,19012500000,
30,,9000000,1481,6076.975017,8.1E+13,13329000000,54692775152,
31,,8350000,1398,5972.818312,6.97225E+13,11673300000,49873032904,
32,,13500000,2150,6279.069767,1.8225E+14,29025000000,84767441860,
33,,5310000,1100,4827.272727,2.81961E+13,5841000000,25632818182,
34,,15000000,1960,7653.061224,2.25E+14,29400000000,1.14796E+11,
35,,17500000,2450,7142.857143,3.0625E+14,42875000000,1.25E+11,
36,,5000000,1000,5000,2.5E+13,5000000000,25000000000,
37,,3500000,850,4117.647059,1.225E+13,2975000000,14411764706,
38,,4550000,950,4789.473684,2.07025E+13,4322500000,21792105263,
39,,4000000,700,5714.285714,1.6E+13,2800000000,22857142857,
40,,3500000,750,4666.666667,1.225E+13,2625000000,16333333333,
41,,3500000,950,3684.210526,1.225E+13,3325000000,12894736842,
42,,2400000,540,4444.444444,5.76E+12,1296000000,10666666667,
43,,80000000,5571,14360.07898,6.4E+15,4.4568E+11,1.14881E+12,
44,,9500000,1200,7916.666667,9.025E+13,11400000000,75208333333,
45,,10500000,1020,10294.11765,1.1025E+14,10710000000,1.08088E+11,
46,,7500000,1505,4983.388704,5.625E+13,11287500000,37375415282,
